"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","No 128 cipher limit bug","",""
"SSLv2","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","not offered","",""
"SSLv3","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","not offered","",""
"TLS1","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"TLS1_1","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"TLS1_2","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","offered","",""
"TLS1_3","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","offered with final","",""
"ALPN","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"cipherlist_NULL","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_LOW","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","not offered","",""
"cipherlist_STRONG_FS","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","offered","",""
"cipher_order-tls1_2","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc02b","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc009","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"cipher_order","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","NOT a cipher order configured","",""
"FS","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","offered","",""
"FS_ciphers","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","prime256v1","",""
"TLS_extensions","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","yes","",""
"sessionresumption_ticket","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","supported","",""
"sessionresumption_ID","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","WARN","check failed because of connect problem","",""
"TLS_timestamp","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","random","",""
"certificate_compression","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","none","",""
"clientAuth","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","none","",""
"cert_numbers","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","1","",""
"cert_signatureAlgorithm","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","SHA384 with RSA","",""
"cert_keySize","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","Digital Signature","",""
"cert_extKeyUsage","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","FB52B3C9666EC4AE600F36EFFCD6790B","",""
"cert_serialNumberLen","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","16","",""
"cert_fingerprintSHA1","territoireengagetransitionecologique.ademe.fr/217.70.184.56","443","INFO","B2A7E1D094F5AC5DA20F7DB54AAA7606A5D07B35","",""
