"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","HTTP","",""
"pre_128cipher","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.registre-coproprietes.gouv.fr/178.237.111.255","443","OK","not offered","",""
"SSLv3","www.registre-coproprietes.gouv.fr/178.237.111.255","443","OK","not offered","",""
"TLS1","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","not offered","",""
"TLS1_1","www.registre-coproprietes.gouv.fr/178.237.111.255","443","LOW","offered (deprecated)","",""
"TLS1_2","www.registre-coproprietes.gouv.fr/178.237.111.255","443","OK","offered","",""
"TLS1_3","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","http/1.1","",""
"cipherlist_NULL","www.registre-coproprietes.gouv.fr/178.237.111.255","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.registre-coproprietes.gouv.fr/178.237.111.255","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.registre-coproprietes.gouv.fr/178.237.111.255","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.registre-coproprietes.gouv.fr/178.237.111.255","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.registre-coproprietes.gouv.fr/178.237.111.255","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","www.registre-coproprietes.gouv.fr/178.237.111.255","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.registre-coproprietes.gouv.fr/178.237.111.255","443","OK","offered","",""
"cipherlist_STRONG_FS","www.registre-coproprietes.gouv.fr/178.237.111.255","443","OK","offered","",""
"cipher_order-tls1_1","www.registre-coproprietes.gouv.fr/178.237.111.255","443","OK","server","",""
"cipherorder_TLSv1_1","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_2","www.registre-coproprietes.gouv.fr/178.237.111.255","443","OK","server","",""
"cipherorder_TLSv1_2","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.registre-coproprietes.gouv.fr/178.237.111.255","443","OK","server","",""
"FS","www.registre-coproprietes.gouv.fr/178.237.111.255","443","OK","offered","",""
"FS_ciphers","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"TLS_extensions","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","yes","",""
"sessionresumption_ticket","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","supported","",""
"sessionresumption_ID","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","supported","",""
"TLS_timestamp","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","random","",""
"cert_compression","www.registre-coproprietes.gouv.fr/178.237.111.255","443","INFO","N/A","",""
