"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cfssi.gouv.fr/54.36.91.62","443","INFO","HTTP","",""
"pre_128cipher","cfssi.gouv.fr/54.36.91.62","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cfssi.gouv.fr/54.36.91.62","443","OK","not offered","",""
"SSLv3","cfssi.gouv.fr/54.36.91.62","443","OK","not offered","",""
"TLS1","cfssi.gouv.fr/54.36.91.62","443","INFO","not offered","",""
"TLS1_1","cfssi.gouv.fr/54.36.91.62","443","INFO","not offered","",""
"TLS1_2","cfssi.gouv.fr/54.36.91.62","443","OK","offered","",""
"TLS1_3","cfssi.gouv.fr/54.36.91.62","443","OK","offered with final","",""
"ALPN_HTTP2","cfssi.gouv.fr/54.36.91.62","443","OK","h2","",""
"cipherlist_NULL","cfssi.gouv.fr/54.36.91.62","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cfssi.gouv.fr/54.36.91.62","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cfssi.gouv.fr/54.36.91.62","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cfssi.gouv.fr/54.36.91.62","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cfssi.gouv.fr/54.36.91.62","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cfssi.gouv.fr/54.36.91.62","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","cfssi.gouv.fr/54.36.91.62","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cfssi.gouv.fr/54.36.91.62","443","OK","offered","",""
"cipher_order-tls1_2","cfssi.gouv.fr/54.36.91.62","443","OK","server","",""
"cipherorder_TLSv1_2","cfssi.gouv.fr/54.36.91.62","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","cfssi.gouv.fr/54.36.91.62","443","OK","server","",""
"FS","cfssi.gouv.fr/54.36.91.62","443","OK","offered","",""
"FS_ciphers","cfssi.gouv.fr/54.36.91.62","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","cfssi.gouv.fr/54.36.91.62","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","cfssi.gouv.fr/54.36.91.62","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","cfssi.gouv.fr/54.36.91.62","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","cfssi.gouv.fr/54.36.91.62","443","INFO","yes","",""
"sessionresumption_ticket","cfssi.gouv.fr/54.36.91.62","443","INFO","not supported","",""
"sessionresumption_ID","cfssi.gouv.fr/54.36.91.62","443","INFO","supported","",""
"TLS_timestamp","cfssi.gouv.fr/54.36.91.62","443","INFO","random","",""
"certificate_compression","cfssi.gouv.fr/54.36.91.62","443","INFO","none","",""
"clientAuth","cfssi.gouv.fr/54.36.91.62","443","INFO","none","",""
"cert_numbers","cfssi.gouv.fr/54.36.91.62","443","INFO","1","",""
"cert_signatureAlgorithm","cfssi.gouv.fr/54.36.91.62","443","OK","SHA256 with RSA","",""
"cert_keySize","cfssi.gouv.fr/54.36.91.62","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","cfssi.gouv.fr/54.36.91.62","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cfssi.gouv.fr/54.36.91.62","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","cfssi.gouv.fr/54.36.91.62","443","INFO","0331A35AF900028D7C76CFB50845BBD675EA","",""
"cert_serialNumberLen","cfssi.gouv.fr/54.36.91.62","443","INFO","18","",""
"cert_fingerprintSHA1","cfssi.gouv.fr/54.36.91.62","443","INFO","0FBE61DBA305ACE6F85B54899586E0DED23BEACA","",""
"cert_fingerprintSHA256","cfssi.gouv.fr/54.36.91.62","443","INFO","365F234125B6F163F5B472EA9243BA8E0FDA8DFDA675AF1A11E3EC5E41C24C30","",""
"cert","cfssi.gouv.fr/54.36.91.62","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE6zCCA9OgAwIBAgISAzGjWvkAAo18ds+1CEW71nXqMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjQwNjMwMjIzODE2WhcNMjQwOTI4MjIzODE1WjAYMRYwFAYDVQQDEw1jZnNzaS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0hSkjjH12jgdSd5nytt6bqkBbgV5cwEZy4dm8z/mi5hRPLsJ14xOTe+kn2Z9s2S99lvzHlTI6F9+suttY9jSOaxgSL06qKT8bTej+ssOsAU7/3NC7qjnJKjoSQDg1G5s643gcVfhPy7ARPqznwZL/x9AhzpbPkZ99wHhHDrSzyxU5d19G8mVS9teBDTZyQxMGFoI4v8J/N3w6FiJChxD840wbrp51CJWuQEGWvnsOIBaIJ7qq0pE3jb9agI74GYB6Vg82QXnW0SS9/I2ijdEEPmGsWWR8ki8PJvLe2HanduB4lhZABmb9To5GiTi0Ja99Xsc+OsOAwH1HYmy7R4BgQIDAQABo4ICEjCCAg4wDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBSpbp1efQIxsHPjHhkWPwTQaOTzkDAfBgNVHSMEGDAWgBS7vMNHpeS8qcbDpHIMEI2iNeHI6DBXBggrBgEFBQcBAQRLMEkwIgYIKwYBBQUHMAGGFmh0dHA6Ly9yMTAuby5sZW5jci5vcmcwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTAuaS5sZW5jci5vcmcvMBgGA1UdEQQRMA+CDWNmc3NpLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwggEFBgorBgEEAdZ5AgQCBIH2BIHzAPEAdgA/F0tP1yJHWJQdZRyEvg0S7ZA3fx+FauvBvyiF7PhkbgAAAZBrg3p2AAAEAwBHMEUCIAKFjkHwnZvpJJUmUCDhCRAKcHnQtmBf+s4CQasTZp2DAiEA0wwfehqqw4lv7fV63JS/QK4hofThWWLqDiiI5PkvWzsAdwAZmBBxCfDWUi4wgNKeP2S7g24ozPkPUo7u385KPxa0ygAAAZBrg3qJAAAEAwBIMEYCIQC3wFKRL0tM6x8e87Tu77rB7eoDLG7VllgVwtRJZil7aQIhAMtTXunpc7qzVUl+V6D2ZVfeykdQvo9LS/T2kcuV0maAMA0GCSqGSIb3DQEBCwUAA4IBAQBM/TsTiaSstNehJ1cnBQV2UiGN6IS5kQ/1mbjjtpHIZW1tlUnh0A7qd7ZsCVYWtWhtzSMqQ5j7zLVqRBGwf7L8mdt5Xp6kDehIUIMhQwfj8aBv5jBqa1chCn8wyMlGk6QZDLDehUDBTqN/dmiW9AGc9S9CSdirx0YGllqBQWbCkDmwP4QG41DLS3nolAcChZefmGPPkIYn7xsie/O9Z/Z8gzrdgIPclJAxe0VDUgnH86vB2fCKME6P1JJNv3qRWNBj3PYVA2lsSTVKJyZZeLAbQdEadI/rT85I2c9sLJEPRUuF2hH58gz4KimcGdBSsYhcmUMQTUl7EFUL58t0t7G+\n-----END CERTIFICATE-----","",""
"cert_commonName","cfssi.gouv.fr/54.36.91.62","443","OK","cfssi.gouv.fr","",""
"cert_commonName_wo_SNI","cfssi.gouv.fr/54.36.91.62","443","INFO","cluster027.hosting.ovh.net","",""
"cert_subjectAltName","cfssi.gouv.fr/54.36.91.62","443","INFO","cfssi.gouv.fr","",""
"cert_trust","cfssi.gouv.fr/54.36.91.62","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","cfssi.gouv.fr/54.36.91.62","443","OK","passed.","",""
"cert_certificatePolicies_EV","cfssi.gouv.fr/54.36.91.62","443","INFO","no","",""
"cert_expirationStatus","cfssi.gouv.fr/54.36.91.62","443","OK","73 >= 30 days","",""
"cert_notBefore","cfssi.gouv.fr/54.36.91.62","443","INFO","2024-06-30 22:38","",""
"cert_notAfter","cfssi.gouv.fr/54.36.91.62","443","OK","2024-09-28 22:38","",""
"cert_extlifeSpan","cfssi.gouv.fr/54.36.91.62","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","cfssi.gouv.fr/54.36.91.62","443","INFO","not present","",""
"cert_crlDistributionPoints","cfssi.gouv.fr/54.36.91.62","443","INFO","--","",""
"cert_ocspURL","cfssi.gouv.fr/54.36.91.62","443","INFO","http://r10.o.lencr.org","",""
"OCSP_stapling","cfssi.gouv.fr/54.36.91.62","443","LOW","not offered","",""
"cert_mustStapleExtension","cfssi.gouv.fr/54.36.91.62","443","INFO","--","",""
"DNS_CAArecord","cfssi.gouv.fr/54.36.91.62","443","LOW","--","",""
"certificate_transparency","cfssi.gouv.fr/54.36.91.62","443","OK","yes (certificate extension)","",""
"certs_countServer","cfssi.gouv.fr/54.36.91.62","443","INFO","2","",""
"certs_list_ordering_problem","cfssi.gouv.fr/54.36.91.62","443","INFO","no","",""
"cert_caIssuers","cfssi.gouv.fr/54.36.91.62","443","INFO","R10 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","cfssi.gouv.fr/54.36.91.62","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBTCCAu2gAwIBAgIQS6hSk/eaL6JzBkuoBI110DANBgkqhkiG9w0BAQsFADBPMQswCQYDVQQGEwJVUzEpMCcGA1UEChMgSW50ZXJuZXQgU2VjdXJpdHkgUmVzZWFyY2ggR3JvdXAxFTATBgNVBAMTDElTUkcgUm9vdCBYMTAeFw0yNDAzMTMwMDAwMDBaFw0yNzAzMTIyMzU5NTlaMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDPV+XmxFQS7bRH/sknWHZGUCiMHT6I3wWd1bUYKb3dtVq/+vbOo76vACFLYlpaPAEvxVgD9on/jhFD68G14BQHlo9vH9fnuoE5CXVlt8KvGFs3Jijno/QHK20a/6tYvJWuQP/py1fEtVt/eA0YYbwX51TGu0mRzW4Y0YCF7qZlNrx06rxQTOr8IfM4FpOUurDTazgGzRYSespSdcitdrLCnF2YRVxvYXvGLe48E1KGAdlX5jgc3421H5KRmudKHMxFqHJV8LDmowfs/acbZp4/SItxhHFYyTr6717yW0QrPHTnj7JHwQdqzZq3DZb3EoEmUVQK7GH29/Xi8orIlQ2NAgMBAAGjgfgwgfUwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATASBgNVHRMBAf8ECDAGAQH/AgEAMB0GA1UdDgQWBBS7vMNHpeS8qcbDpHIMEI2iNeHI6DAfBgNVHSMEGDAWgBR5tFnme7bl5AFzgAiIyBpY9umbbjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly94MS5pLmxlbmNyLm9yZy8wEwYDVR0gBAwwCjAIBgZngQwBAgEwJwYDVR0fBCAwHjAcoBqgGIYWaHR0cDovL3gxLmMubGVuY3Iub3JnLzANBgkqhkiG9w0BAQsFAAOCAgEAkrHnQTfreZ2B5s3iJeE6IOmQRJWjgVzPw139vaBw1bGWKCIL0vIozwzn1OZDjCQiHcFCktEJr59L9MhwTyAWsVrdAfYf+B9haxQnsHKNY67u4s5Lzzfdu6PUzeetUK29v+PsPmI2cJkxp+iN3epi4hKu9ZzUPSwMqtCceb7qPVxEbpYxY1p91n5PJKBLBX9eb9LU6l8zSxPWV7bK3lG4XaMJgnT9x3ies7msFtpKK5bDtotij/l0GaKeA97pb5uwD9KgWvaFXMIEt8jVTjLEvwRdvCn294GPDF08U8lAkIv7tghluaQh1QnlE4SEN4LOECj8dsIGJXpGUk3aU3KkJz9icKy+aUgA+2cP21uh6NcDIS3XyfaZQjmDQ993ChII8SXWupQZVBiIpcWO4RqZk3lr7Bz5MUCwzDIA359e57SSq5CCkY0N4B6Vulk7LktfwrdGNVI5BsC9qqxSwSKgRJeZ9wygIaehbHFHFhcBaMDKpiZlBHyzrsnnlFXCb5s8HKn5LsUgGvB24L7sGNZP2CX7dhHov+YhD+jozLW2p9W4959Bz2EiRmqDtmiXLnzqTpXbI+suyCsohKRg6Un0RC47+cpiVwHiXZAW+cn8eiNIjqbVgXLxKPpdzvvtTnOPlC7SQZSYmdunr3Bf9b77AiC/ZidstK36dRILKz7OA54=\n-----END CERTIFICATE-----","",""
