"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sante.gouv.fr/185.194.82.27","443","INFO","HTTP","",""
"pre_128cipher","sante.gouv.fr/185.194.82.27","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sante.gouv.fr/185.194.82.27","443","OK","not offered","",""
"SSLv3","sante.gouv.fr/185.194.82.27","443","OK","not offered","",""
"TLS1","sante.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"TLS1_1","sante.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"TLS1_2","sante.gouv.fr/185.194.82.27","443","OK","offered","",""
"TLS1_3","sante.gouv.fr/185.194.82.27","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","sante.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"cipherlist_NULL","sante.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sante.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sante.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sante.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sante.gouv.fr/185.194.82.27","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sante.gouv.fr/185.194.82.27","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","sante.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sante.gouv.fr/185.194.82.27","443","OK","offered","",""
"cipher_order-tls1_2","sante.gouv.fr/185.194.82.27","443","OK","server","",""
"cipherorder_TLSv1_2","sante.gouv.fr/185.194.82.27","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","sante.gouv.fr/185.194.82.27","443","OK","server","",""
"FS","sante.gouv.fr/185.194.82.27","443","OK","offered","",""
"FS_ciphers","sante.gouv.fr/185.194.82.27","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","sante.gouv.fr/185.194.82.27","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","sante.gouv.fr/185.194.82.27","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","sante.gouv.fr/185.194.82.27","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","sante.gouv.fr/185.194.82.27","443","INFO","yes","",""
"sessionresumption_ticket","sante.gouv.fr/185.194.82.27","443","INFO","not supported","",""
"sessionresumption_ID","sante.gouv.fr/185.194.82.27","443","INFO","supported","",""
"TLS_timestamp","sante.gouv.fr/185.194.82.27","443","INFO","random","",""
