"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sgae.gouv.fr/193.17.19.225","443","INFO","HTTP","",""
"pre_128cipher","sgae.gouv.fr/193.17.19.225","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sgae.gouv.fr/193.17.19.225","443","OK","not offered","",""
"SSLv3","sgae.gouv.fr/193.17.19.225","443","OK","not offered","",""
"TLS1","sgae.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"TLS1_2","sgae.gouv.fr/193.17.19.225","443","OK","offered","",""
"TLS1_3","sgae.gouv.fr/193.17.19.225","443","OK","offered with final","",""
"ALPN","sgae.gouv.fr/193.17.19.225","443","INFO","http/1.1","",""
"cipherlist_NULL","sgae.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sgae.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sgae.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sgae.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sgae.gouv.fr/193.17.19.225","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sgae.gouv.fr/193.17.19.225","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","sgae.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sgae.gouv.fr/193.17.19.225","443","OK","offered","",""
"scanProblem","sgae.gouv.fr/193.17.19.225","443","FATAL","repeated openssl s_client connect problem, doesn't make sense to continue","",""
