"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","seine-et-marne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","seine-et-marne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","seine-et-marne.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","seine-et-marne.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","seine-et-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","seine-et-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","seine-et-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","seine-et-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","seine-et-marne.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","seine-et-marne.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","seine-et-marne.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","seine-et-marne.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","seine-et-marne.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","seine-et-marne.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","40023AD2A5D08ADCA0C1ABFD163A5D9B","",""
"cert_serialNumberLen","seine-et-marne.gouv.fr/77.159.252.140","443","INFO","16","",""
