"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","societenumerique.gouv.fr/146.59.226.142","443","INFO","HTTP","",""
"pre_128cipher","societenumerique.gouv.fr/146.59.226.142","443","INFO","No 128 cipher limit bug","",""
"SSLv2","societenumerique.gouv.fr/146.59.226.142","443","OK","not offered","",""
"SSLv3","societenumerique.gouv.fr/146.59.226.142","443","OK","not offered","",""
"TLS1","societenumerique.gouv.fr/146.59.226.142","443","INFO","not offered","",""
"TLS1_1","societenumerique.gouv.fr/146.59.226.142","443","INFO","not offered","",""
"TLS1_2","societenumerique.gouv.fr/146.59.226.142","443","OK","offered","",""
"TLS1_3","societenumerique.gouv.fr/146.59.226.142","443","OK","offered with final","",""
"ALPN","societenumerique.gouv.fr/146.59.226.142","443","INFO","http/1.1","",""
"cipherlist_NULL","societenumerique.gouv.fr/146.59.226.142","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","societenumerique.gouv.fr/146.59.226.142","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","societenumerique.gouv.fr/146.59.226.142","443","OK","not offered","","CWE-327"
"cipherlist_LOW","societenumerique.gouv.fr/146.59.226.142","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","societenumerique.gouv.fr/146.59.226.142","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","societenumerique.gouv.fr/146.59.226.142","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","societenumerique.gouv.fr/146.59.226.142","443","INFO","not offered","",""
"cipherlist_STRONG_FS","societenumerique.gouv.fr/146.59.226.142","443","OK","offered","",""
"cipher_order-tls1_2","societenumerique.gouv.fr/146.59.226.142","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","societenumerique.gouv.fr/146.59.226.142","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","societenumerique.gouv.fr/146.59.226.142","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","societenumerique.gouv.fr/146.59.226.142","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
